model,obs,score
"Cox PH Elastic Net, Barlow weights",750,0.970350962
"Survival Tree, unweighted",750,0.924119148
"Survival Tree, random oversampler",750,0.914465973
"Survival Tree, SMOTENC",750,0.906708957
"Random Survival Forest, unweighted",750,0.956698614
"Random Survival Forest, random oversampler",750,0.952423636
"Random Survival Forest, SMOTENC",750,0.946631731
Unweighted Cox PH,750,0.963452224
"Cox PH, Barlow weights",750,0.960810216
"Cox PH, Prentice weights",750,0.960998931
"Cox PH, Self-Prentice weights",750,0.96200541
"Cox PH Ridge, Barlow weights",750,0.960810216
"Cox PH Lasso, Barlow weights",750,0.960810216
"Cox PH Elastic Net, Barlow weights",750,0.960810216
"Survival Tree, unweighted",750,0.895011637
"Survival Tree, random oversampler",750,0.86594955
"Survival Tree, SMOTENC",750,0.871202114
"Random Survival Forest, unweighted",750,0.935019186
"Random Survival Forest, random oversampler",750,0.928414166
"Random Survival Forest, SMOTENC",750,0.926967352
Unweighted Cox PH,750,0.964058328
"Cox PH, Barlow weights",750,0.961251455
"Cox PH, Prentice weights",750,0.961388375
"Cox PH, Self-Prentice weights",750,0.964811392
"Cox PH Ridge, Barlow weights",750,0.961251455
"Cox PH Lasso, Barlow weights",750,0.961251455
"Cox PH Elastic Net, Barlow weights",750,0.961251455
"Survival Tree, unweighted",750,0.881460943
"Survival Tree, random oversampler",750,0.881769015
"Survival Tree, SMOTENC",750,0.88710892
"Random Survival Forest, unweighted",750,0.943999452
"Random Survival Forest, random oversampler",750,0.946532484
"Random Survival Forest, SMOTENC",750,0.934757308
Unweighted Cox PH,750,0.967744042
"Cox PH, Barlow weights",750,0.969311133
"Cox PH, Prentice weights",750,0.969898792
"Cox PH, Self-Prentice weights",750,0.970617042
"Cox PH Ridge, Barlow weights",750,0.969311133
"Cox PH Lasso, Barlow weights",750,0.969311133
"Cox PH Elastic Net, Barlow weights",750,0.969311133
"Survival Tree, unweighted",750,0.926379367
"Survival Tree, random oversampler",750,0.902807705
"Survival Tree, SMOTENC",750,0.912797911
"Random Survival Forest, unweighted",750,0.948481881
"Random Survival Forest, random oversampler",750,0.947437153
"Random Survival Forest, SMOTENC",750,0.94835129
Unweighted Cox PH,750,0.967782532
"Cox PH, Barlow weights",750,0.9694815
"Cox PH, Prentice weights",750,0.968789328
"Cox PH, Self-Prentice weights",750,0.966272338
"Cox PH Ridge, Barlow weights",750,0.9694815
"Cox PH Lasso, Barlow weights",750,0.9694815
"Cox PH Elastic Net, Barlow weights",750,0.9694815
"Survival Tree, unweighted",750,0.882173421
"Survival Tree, random oversampler",750,0.909482759
"Survival Tree, SMOTENC",750,0.902403725
"Random Survival Forest, unweighted",750,0.948464636
"Random Survival Forest, random oversampler",750,0.950037755
"Random Survival Forest, SMOTENC",750,0.923483514
Unweighted Cox PH,750,0.961702968
"Cox PH, Barlow weights",750,0.961900375
"Cox PH, Prentice weights",750,0.96203198
"Cox PH, Self-Prentice weights",750,0.957952227
"Cox PH Ridge, Barlow weights",750,0.961900375
"Cox PH Lasso, Barlow weights",750,0.961900375
"Cox PH Elastic Net, Barlow weights",750,0.961900375
"Survival Tree, unweighted",750,0.906725012
"Survival Tree, random oversampler",750,0.878890571
"Survival Tree, SMOTENC",750,0.87300125
"Random Survival Forest, unweighted",750,0.938672106
"Random Survival Forest, random oversampler",750,0.933078897
"Random Survival Forest, SMOTENC",750,0.910903468
Unweighted Cox PH,750,0.962798992
"Cox PH, Barlow weights",750,0.96126176
"Cox PH, Prentice weights",750,0.962491545
"Cox PH, Self-Prentice weights",750,0.961446228
"Cox PH Ridge, Barlow weights",750,0.96126176
"Cox PH Lasso, Barlow weights",750,0.96126176
"Cox PH Elastic Net, Barlow weights",750,0.96126176
"Survival Tree, unweighted",750,0.913761299
"Survival Tree, random oversampler",750,0.917573633
"Survival Tree, SMOTENC",750,0.918065548
"Random Survival Forest, unweighted",750,0.940539876
"Random Survival Forest, random oversampler",750,0.94183115
"Random Survival Forest, SMOTENC",750,0.943368382
Unweighted Cox PH,750,0.965411473
"Cox PH, Barlow weights",750,0.962670495
"Cox PH, Prentice weights",750,0.963257848
"Cox PH, Self-Prentice weights",750,0.961234745
"Cox PH Ridge, Barlow weights",750,0.962670495
"Cox PH Lasso, Barlow weights",750,0.962670495
"Cox PH Elastic Net, Barlow weights",750,0.962670495
"Survival Tree, unweighted",750,0.908568818
"Survival Tree, random oversampler",750,0.898485936
"Survival Tree, SMOTENC",750,0.90197742
"Random Survival Forest, unweighted",750,0.938458526
"Random Survival Forest, random oversampler",750,0.931279776
"Random Survival Forest, SMOTENC",750,0.928277752
Unweighted Cox PH,750,0.962719763
"Cox PH, Barlow weights",750,0.957777307
"Cox PH, Prentice weights",750,0.958695192
"Cox PH, Self-Prentice weights",750,0.957141848
"Cox PH Ridge, Barlow weights",750,0.957777307
"Cox PH Lasso, Barlow weights",750,0.957777307
"Cox PH Elastic Net, Barlow weights",750,0.957777307
"Survival Tree, unweighted",750,0.878803926
"Survival Tree, random oversampler",750,0.877462402
"Survival Tree, SMOTENC",750,0.848619643
"Random Survival Forest, unweighted",750,0.934406552
"Random Survival Forest, random oversampler",750,0.918449481
"Random Survival Forest, SMOTENC",750,0.905881522
Unweighted Cox PH,750,0.966023166
"Cox PH, Barlow weights",750,0.963256113
"Cox PH, Prentice weights",750,0.963513514
"Cox PH, Self-Prentice weights",750,0.963191763
"Cox PH Ridge, Barlow weights",750,0.963256113
"Cox PH Lasso, Barlow weights",750,0.963256113
"Cox PH Elastic Net, Barlow weights",750,0.963256113
"Survival Tree, unweighted",750,0.882303732
"Survival Tree, random oversampler",750,0.832239382
"Survival Tree, SMOTENC",750,0.842792793
"Random Survival Forest, unweighted",750,0.931788932
"Random Survival Forest, random oversampler",750,0.929021879
"Random Survival Forest, SMOTENC",750,0.911583012
Unweighted Cox PH,750,0.972429975
"Cox PH, Barlow weights",750,0.97316322
"Cox PH, Prentice weights",750,0.973016571
"Cox PH, Self-Prentice weights",750,0.966930635
"Cox PH Ridge, Barlow weights",750,0.97316322
"Cox PH Lasso, Barlow weights",750,0.97316322
"Cox PH Elastic Net, Barlow weights",750,0.97316322
"Survival Tree, unweighted",750,0.905301364
"Survival Tree, random oversampler",750,0.892286259
"Survival Tree, SMOTENC",750,0.916336706
"Random Survival Forest, unweighted",750,0.946033143
"Random Survival Forest, random oversampler",750,0.930341692
"Random Survival Forest, SMOTENC",750,0.937307523
Unweighted Cox PH,750,0.948794227
"Cox PH, Barlow weights",750,0.948287866
"Cox PH, Prentice weights",750,0.948541047
"Cox PH, Self-Prentice weights",750,0.947971391
"Cox PH Ridge, Barlow weights",750,0.948287866
"Cox PH Lasso, Barlow weights",750,0.948287866
"Cox PH Elastic Net, Barlow weights",750,0.948287866
"Survival Tree, unweighted",750,0.876226343
"Survival Tree, random oversampler",750,0.876954238
"Survival Tree, SMOTENC",750,0.847427052
"Random Survival Forest, unweighted",750,0.921893791
"Random Survival Forest, random oversampler",750,0.923919235
"Random Survival Forest, SMOTENC",750,0.917842901
Unweighted Cox PH,750,0.973306588
"Cox PH, Barlow weights",750,0.975003857
"Cox PH, Prentice weights",750,0.97484956
"Cox PH, Self-Prentice weights",750,0.972072211
"Cox PH Ridge, Barlow weights",750,0.975003857
"Cox PH Lasso, Barlow weights",750,0.975003857
"Cox PH Elastic Net, Barlow weights",750,0.975003857
"Survival Tree, unweighted",750,0.889446073
"Survival Tree, random oversampler",750,0.871701898
"Survival Tree, SMOTENC",750,0.922735689
"Random Survival Forest, unweighted",750,0.940672736
"Random Survival Forest, random oversampler",750,0.948464743
"Random Survival Forest, SMOTENC",750,0.940749884
Unweighted Cox PH,750,0.944690705
"Cox PH, Barlow weights",750,0.943565994
"Cox PH, Prentice weights",750,0.943499835
